epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9153,2.85127,9.28053,1.48056,0,0,0,0,1.37786,8.35977,1.06662,0.093035,3.5e-05,3.5e-05
2,86.5153,1.04305,7.4736,0.91269,0,0,0,0,1.63476,8.02688,1.12313,0.0850743,7.42575e-05,7.42575e-05
3,121.848,0.98197,6.57257,0.90617,0.00222,0.04444,0.0031,0.0029,1.2749,7.58019,0.99309,0.0771127,0.000112723,0.000112723
4,162.577,0.89658,5.99094,0.88702,0.00579,0.0716,0.02994,0.02727,0.88192,7.30476,0.88067,0.0691504,0.000150396,0.000150396
5,197.507,0.89573,5.45867,0.89502,0.01334,0.10123,0.05904,0.04949,0.82495,7.362,0.86197,0.0611873,0.000187278,0.000187278
6,216.657,0.91547,5.04064,0.9056,0.04165,0.12148,0.08272,0.06993,0.84849,7.38293,0.86434,0.0532234,0.000223368,0.000223368
7,239.728,0.84682,4.43995,0.87788,0.04647,0.22195,0.11357,0.09728,0.80028,7.29315,0.85091,0.0452587,0.000258665,0.000258665
8,270.524,0.84801,4.11541,0.88699,0.05634,0.32429,0.17879,0.15836,0.72889,7.07615,0.8451,0.0372932,0.000293171,0.000293171
9,308.039,0.82589,3.76629,0.87893,0.11602,0.40785,0.26619,0.2368,0.72185,6.77713,0.85314,0.0293269,0.000326884,0.000326884
10,343.881,0.77243,3.39983,0.86213,0.1578,0.49243,0.35282,0.31904,0.71504,6.49218,0.85392,0.0213598,0.000359805,0.000359805
11,377.186,0.78943,3.02821,0.85822,0.1514,0.65282,0.45347,0.40294,0.76357,5.89931,0.85254,0.0133919,0.000391935,0.000391935
12,391.844,0.82908,3.00173,0.8848,0.19877,0.73887,0.53602,0.48263,0.71445,5.47788,0.85806,0.00542327,0.000423272,0.000423272
13,437.934,0.73336,2.74795,0.85811,0.19216,0.85306,0.60737,0.54421,0.69342,5.01282,0.856,0.0004406,0.0004406,0.0004406
14,449.25,0.77381,2.62866,0.87964,0.18891,0.9488,0.67893,0.61292,0.6703,4.50415,0.8576,0.00043565,0.00043565,0.00043565
15,483.759,0.72648,2.45804,0.86983,0.69134,0.64354,0.68591,0.61263,0.68978,4.12156,0.85522,0.0004307,0.0004307,0.0004307
16,499.871,0.77159,2.44668,0.86883,0.77758,0.5386,0.77155,0.69368,0.66515,3.62778,0.85219,0.00042575,0.00042575,0.00042575
17,541.456,0.75956,2.27054,0.85971,0.74292,0.75747,0.80116,0.72288,0.65157,2.75375,0.84538,0.0004208,0.0004208,0.0004208
18,557.965,0.72049,2.12316,0.86033,0.75467,0.80708,0.83081,0.75358,0.64117,2.27175,0.84297,0.00041585,0.00041585,0.00041585
19,596.596,0.70974,2.03377,0.85545,0.79587,0.77666,0.8557,0.77773,0.63317,2.08098,0.8447,0.0004109,0.0004109,0.0004109
20,613.42,0.74102,2.05063,0.86127,0.74287,0.81131,0.86526,0.78322,0.63742,1.91639,0.84448,0.00040595,0.00040595,0.00040595
21,652.058,0.66257,1.84812,0.84218,0.73498,0.81701,0.88559,0.80694,0.63159,1.66111,0.83942,0.000401,0.000401,0.000401
22,666.574,0.69158,1.75417,0.84177,0.76412,0.86572,0.88421,0.80123,0.62893,1.52054,0.83984,0.00039605,0.00039605,0.00039605
23,713.528,0.69553,1.71977,0.84762,0.79761,0.89185,0.89414,0.80166,0.66464,1.45056,0.83875,0.0003911,0.0003911,0.0003911
24,734.512,0.69115,1.63884,0.84124,0.82966,0.84547,0.92242,0.83708,0.61925,1.44519,0.84233,0.00038615,0.00038615,0.00038615
25,782.886,0.68057,1.59271,0.8382,0.81154,0.90087,0.93122,0.85048,0.60214,1.37265,0.83365,0.0003812,0.0003812,0.0003812
26,794.061,0.67297,1.59539,0.84678,0.83074,0.90443,0.93533,0.84642,0.61155,1.28722,0.8374,0.00037625,0.00037625,0.00037625
27,864.112,0.70284,1.5784,0.85204,0.84271,0.93302,0.93698,0.8478,0.61941,1.19075,0.8394,0.0003713,0.0003713,0.0003713
28,885.269,0.70308,1.55744,0.85832,0.85653,0.93855,0.93671,0.84344,0.63344,1.13132,0.83418,0.00036635,0.00036635,0.00036635
29,949.464,0.64845,1.43275,0.82877,0.86658,0.93854,0.94737,0.86221,0.61078,1.07865,0.83528,0.0003614,0.0003614,0.0003614
30,968.775,0.66218,1.42585,0.83542,0.93388,0.92112,0.94444,0.85455,0.61022,1.03954,0.83476,0.00035645,0.00035645,0.00035645
31,1043.61,0.65501,1.39945,0.83369,0.93804,0.93118,0.9452,0.86028,0.58747,0.95255,0.832,0.0003515,0.0003515,0.0003515
