epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6983,1.88409,9.49741,1.20843,0,0,0,0,2.61597,9.85072,1.65241,0.093056,5.6e-05,5.6e-05
2,76.4844,1.3021,8.1518,0.99433,0,0,0,0,2.14179,9.54781,1.39878,0.0851188,0.000118812,0.000118812
3,101.691,1.12997,7.2437,0.97019,9e-05,0.04444,0.01902,0.01209,1.60294,8.95957,1.13341,0.0771804,0.000180357,0.000180357
4,126.468,1.23042,6.94642,0.95901,0.00025,0.04444,0.02332,0.01621,1.23249,8.69186,0.99706,0.0692406,0.000240634,0.000240634
5,151.72,1.12817,6.50322,0.96664,0.00393,0.06667,0.03676,0.03001,1.05498,8.58006,0.94626,0.0612996,0.000299645,0.000299645
6,177.186,1.1457,6.085,0.96737,0.04879,0.27377,0.1443,0.11349,1.03211,8.4888,0.92376,0.0533574,0.000357388,0.000357388
7,202.721,1.10429,5.64761,0.95655,0.04106,0.33163,0.20062,0.1588,0.95644,8.36498,0.91208,0.0454139,0.000413864,0.000413864
8,228.594,1.04918,5.43571,0.92946,0.08937,0.36794,0.24971,0.19693,0.91591,8.14945,0.90418,0.0374691,0.000469073,0.000469073
9,254.432,0.98949,5.0017,0.92216,0.12162,0.42818,0.31091,0.25051,0.84361,7.98712,0.8999,0.029523,0.000523014,0.000523014
10,279.174,1.05855,4.74383,0.91305,0.11757,0.50376,0.33633,0.27337,0.95102,7.83341,0.89519,0.0215757,0.000575689,0.000575689
11,303.706,1.05819,4.48547,0.92611,0.11255,0.59736,0.3933,0.31739,0.82671,7.31544,0.90662,0.0136271,0.000627096,0.000627096
12,327.804,0.97091,4.15992,0.92493,0.11274,0.70096,0.50415,0.41635,0.84034,6.79899,0.89226,0.00567724,0.000677236,0.000677236
13,352.585,0.92626,3.9546,0.90508,0.09934,0.7873,0.5377,0.4473,0.85236,6.30819,0.88477,0.00070496,0.00070496,0.00070496
14,377.602,0.97347,3.75087,0.90112,0.86001,0.22263,0.54628,0.45629,0.80897,5.96031,0.88388,0.00069704,0.00069704,0.00069704
15,401.43,0.87388,3.48788,0.89069,0.88674,0.27578,0.58529,0.49172,0.76941,5.51023,0.89035,0.00068912,0.00068912,0.00068912
16,426.255,0.92308,3.39855,0.91771,0.81758,0.3831,0.58061,0.48659,0.77002,4.98494,0.89515,0.0006812,0.0006812,0.0006812
17,451.561,0.90515,3.22612,0.89521,0.77043,0.43539,0.65128,0.55209,0.78697,4.45351,0.88841,0.00067328,0.00067328,0.00067328
18,477.373,0.85093,3.1039,0.88012,0.73399,0.52063,0.74023,0.63434,0.74031,4.05103,0.88314,0.00066536,0.00066536,0.00066536
19,501.585,0.86487,2.89713,0.87432,0.69432,0.62509,0.76581,0.63126,0.81431,3.70262,0.88965,0.00065744,0.00065744,0.00065744
20,527.333,0.89705,2.89385,0.88049,0.69699,0.69896,0.75648,0.62551,0.79328,3.37739,0.88176,0.00064952,0.00064952,0.00064952
21,553.149,0.87394,2.83275,0.87258,0.73922,0.72403,0.78695,0.66239,0.72847,3.11148,0.87287,0.0006416,0.0006416,0.0006416
22,578.826,0.88508,2.74366,0.88903,0.72604,0.79415,0.80857,0.67598,0.76642,2.87224,0.86871,0.00063368,0.00063368,0.00063368
